DATE,CSUSHPISA
1/1/1987,63.965
2/1/1987,64.425
3/1/1987,64.736
4/1/1987,65.135
5/1/1987,65.569
6/1/1987,66.076
7/1/1987,66.509
8/1/1987,66.938
9/1/1987,67.331
10/1/1987,67.74
11/1/1987,68.108
12/1/1987,68.507
1/1/1988,68.859
2/1/1988,69.263
3/1/1988,69.637
4/1/1988,69.975
5/1/1988,70.424
6/1/1988,70.886
7/1/1988,71.353
8/1/1988,71.798
9/1/1988,72.24
10/1/1988,72.637
11/1/1988,73.071
12/1/1988,73.465
1/1/1989,73.946
2/1/1989,74.382
3/1/1989,74.778
4/1/1989,75.085
5/1/1989,75.307
6/1/1989,75.48
7/1/1989,75.659
8/1/1989,75.835
9/1/1989,76.056
10/1/1989,76.286
11/1/1989,76.518
12/1/1989,76.704
1/1/1990,76.897
2/1/1990,77.052
3/1/1990,77.2
4/1/1990,77.278
5/1/1990,77.298
6/1/1990,77.258
7/1/1990,77.139
8/1/1990,77.007
9/1/1990,76.849
10/1/1990,76.702
11/1/1990,76.366
12/1/1990,76.183
1/1/1991,75.914
2/1/1991,75.735
3/1/1991,75.571
4/1/1991,75.565
5/1/1991,75.764
6/1/1991,75.993
7/1/1991,76.084
8/1/1991,76.109
9/1/1991,76.195
10/1/1991,76.073
11/1/1991,76.011
12/1/1991,76.057
1/1/1992,76.088
2/1/1992,76.157
3/1/1992,76.279
4/1/1992,76.347
5/1/1992,76.4
6/1/1992,76.334
7/1/1992,76.268
8/1/1992,76.233
9/1/1992,76.242
10/1/1992,76.38
11/1/1992,76.558
12/1/1992,76.676
1/1/1993,76.787
2/1/1993,76.84
3/1/1993,76.871
4/1/1993,76.939
5/1/1993,77.04
6/1/1993,77.244
7/1/1993,77.433
8/1/1993,77.615
9/1/1993,77.796
10/1/1993,77.945
11/1/1993,78.15
12/1/1993,78.329
1/1/1994,78.594
2/1/1994,78.73
3/1/1994,78.859
4/1/1994,78.99
5/1/1994,79.225
6/1/1994,79.426
7/1/1994,79.599
