DATE,GFDEGDQ188S
2000-01-01,57.71743
2000-04-01,55.48513
2000-07-01,54.98329
2000-10-01,54.24085
2001-01-01,55.13040
2001-04-01,54.03766
2001-07-01,54.80656
2001-10-01,55.75305
2002-01-01,55.66835
2002-04-01,56.24119
2002-07-01,56.66127
2002-10-01,57.85782
2003-01-01,57.77057
2003-04-01,58.96044
2003-07-01,58.64208
2003-10-01,59.45960
2004-01-01,59.82355
2004-04-01,60.07385
2004-07-01,59.97601
2004-10-01,60.66032
2005-01-01,60.94141
2005-04-01,60.70087
2005-07-01,60.35750
2005-10-01,61.28277
2006-01-01,61.53482
2006-04-01,61.23753
2006-07-01,61.34482
2006-10-01,61.83717
2007-01-01,62.28400
2007-04-01,61.65661
2007-07-01,61.97214
2007-10-01,62.86259
2008-01-01,64.41587
2008-04-01,64.11087
2008-07-01,67.57397
2008-10-01,73.48998
2009-01-01,77.29970
2009-04-01,80.43890
2009-07-01,82.59064
2009-10-01,84.16278
2010-01-01,86.76598
2010-04-01,88.44771
2010-07-01,89.93168
2010-10-01,92.02388
2011-01-01,93.35519
2011-04-01,92.55880
2011-07-01,94.85943
2011-10-01,96.36931
2012-01-01,97.42044
2012-04-01,98.15989
2012-07-01,98.82568
2012-10-01,100.45154
2013-01-01,101.21783
2013-04-01,100.60340
2013-07-01,99.34376
2013-10-01,100.42722
2014-01-01,102.90374
2014-04-01,101.14552
2014-07-01,100.5779
2014-10-01,101.63324
2015-01-01,100.82572
2015-04-01,99.60722
2015-07-01,98.92733
2015-10-01,102.95654
2016-01-01,104.30307
2016-04-01,103.88816
2016-07-01,103.99592
2016-10-01,104.96121
2017-01-01,103.16562
2017-04-01,102.40114
2017-07-01,103.19928
2017-10-01,102.78255
2018-01-01,104.18644
2018-04-01,103.12571
2018-07-01,103.72822
2018-10-01,105.08967
2019-01-01,104.32185
2019-04-01,103.25087
2019-07-01,105.47381
2019-10-01,106.68579
2020-01-01,107.71144
2020-04-01,135.64081
2020-07-01,127.2795
