DATE,MKTGNIUSA646NWDB
2000-01-01,10383859000000
2001-01-01,10743709000000
2002-01-01,11054325000000
2003-01-01,11530268000000
2004-01-01,12313988000000
2005-01-01,13169702000000
2006-01-01,14072966000000
2007-01-01,14543216000000
2008-01-01,14684602000000
2009-01-01,14398708000000
2010-01-01,15126736000000.0
2011-01-01,15832207000000.0
2012-01-01,16670651000000.0
2013-01-01,17175898000000.0
2014-01-01,18057489000000.0
2015-01-01,18704317000000.0
2016-01-01,19045164000000.0
2017-01-01,19830277000000.0
2018-01-01,20837347000000.0
2019-01-01,21690012900000.0
