DATE,PCETRIM12M159SFRBDAL
2000-01-01,1.97
2000-02-01,2.09
2000-03-01,2.2
2000-04-01,2.15
2000-05-01,2.2
2000-06-01,2.26
2000-07-01,2.28
2000-08-01,2.31
2000-09-01,2.37
2000-10-01,2.41
2000-11-01,2.44
2000-12-01,2.47
2001-01-01,2.48
2001-02-01,2.49
2001-03-01,2.45
2001-04-01,2.55
2001-05-01,2.55
2001-06-01,2.64
2001-07-01,2.61
2001-08-01,2.63
2001-09-01,2.52
2001-10-01,2.49
2001-11-01,2.46
2001-12-01,2.38
2002-01-01,2.25
2002-02-01,2.24
2002-03-01,2.23
2002-04-01,2.19
2002-05-01,2.13
2002-06-01,2.03
2002-07-01,2.04
2002-08-01,2.02
2002-09-01,2.08
2002-10-01,2.08
2002-11-01,2.06
2002-12-01,2.08
2003-01-01,2.05
2003-02-01,1.98
2003-03-01,1.96
2003-04-01,1.79
2003-05-01,1.77
2003-06-01,1.68
2003-07-01,1.7
2003-08-01,1.73
2003-09-01,1.67
2003-10-01,1.65
2003-11-01,1.65
2003-12-01,1.66
2004-01-01,1.77
2004-02-01,1.85
2004-03-01,1.86
2004-04-01,2.1
2004-05-01,2.2
2004-06-01,2.32
2004-07-01,2.26
2004-08-01,2.2
2004-09-01,2.2
2004-10-01,2.23
2004-11-01,2.27
2004-12-01,2.28
2005-01-01,2.37
2005-02-01,2.37
2005-03-01,2.38
2005-04-01,2.27
2005-05-01,2.23
2005-06-01,2.16
2005-07-01,2.23
2005-08-01,2.26
2005-09-01,2.37
2005-10-01,2.42
2005-11-01,2.43
2005-12-01,2.41
2006-01-01,2.37
2006-02-01,2.32
2006-03-01,2.37
2006-04-01,2.46
2006-05-01,2.6
2006-06-01,2.77
2006-07-01,2.78
2006-08-01,2.85
2006-09-01,2.76
2006-10-01,2.68
2006-11-01,2.55
2006-12-01,2.66
2007-01-01,2.7
2007-02-01,2.81
2007-03-01,2.75
2007-04-01,2.64
2007-05-01,2.49
2007-06-01,2.39
2007-07-01,2.32
2007-08-01,2.27
2007-09-01,2.36
2007-10-01,2.45
2007-11-01,2.63
2007-12-01,2.6
2008-01-01,2.54
2008-02-01,2.42
2008-03-01,2.48
2008-04-01,2.52
2008-05-01,2.57
2008-06-01,2.62
2008-07-01,2.71
2008-08-01,2.66
2008-09-01,2.59
2008-10-01,2.47
2008-11-01,2.4
2008-12-01,2.27
2009-01-01,2.27
2009-02-01,2.27
2009-03-01,2.18
2009-04-01,2.12
2009-05-01,2.04
2009-06-01,1.91
2009-07-01,1.66
2009-08-01,1.65
2009-09-01,1.53
2009-10-01,1.55
2009-11-01,1.43
2009-12-01,1.39
2010-01-01,1.23
2010-02-01,1.11
2010-03-01,1.03
2010-04-01,0.94
2010-05-01,0.88
2010-06-01,0.8
2010-07-01,0.84
2010-08-01,0.84
2010-09-01,0.87
2010-10-01,0.78
2010-11-01,0.83
2010-12-01,0.88
2011-01-01,0.99
2011-02-01,1.15
2011-03-01,1.28
2011-04-01,1.41
2011-05-01,1.55
2011-06-01,1.62
2011-07-01,1.7
2011-08-01,1.79
2011-09-01,1.84
2011-10-01,1.93
2011-11-01,2.0
2011-12-01,2.06
2012-01-01,2.1
2012-02-01,2.03
2012-03-01,2.02
2012-04-01,2.0
2012-05-01,1.93
2012-06-01,1.9
2012-07-01,1.85
2012-08-01,1.79
2012-09-01,1.8
2012-10-01,1.78
2012-11-01,1.7
