DATE,RHEACBW027SBOG
2000-01-05,103.8169
2000-01-12,104.7259
2000-01-19,105.1284
2000-01-26,105.6475
2000-02-02,105.7098
2000-02-09,106.0363
2000-02-16,106.3753
2000-02-23,107.2688
2000-03-01,107.5233
2000-03-08,107.9696
2000-03-15,108.2911
2000-03-22,108.6243
2000-03-29,109.2239
2000-04-05,110.4886
2000-04-12,110.4879
2000-04-19,111.4927
2000-04-26,112.08
2000-05-03,112.8916
2000-05-10,113.3085
2000-05-17,113.3977
2000-05-24,113.5151
2000-05-31,113.7705
2000-06-07,113.9233
2000-06-14,114.3095
2000-06-21,113.2882
2000-06-28,116.0209
2000-07-05,118.5593
2000-07-12,118.1805
2000-07-19,118.3027
2000-07-26,118.5078
2000-08-02,118.8664
2000-08-09,119.4046
2000-08-16,120.1776
2000-08-23,120.651
2000-08-30,120.4654
2000-09-06,120.7353
2000-09-13,121.3836
2000-09-20,122.31
2000-09-27,122.7787
2000-10-04,122.8097
2000-10-11,123.1748
2000-10-18,123.6003
2000-10-25,124.0744
2000-11-01,124.623
2000-11-08,125.3256
2000-11-15,125.7526
2000-11-22,126.0011
2000-11-29,126.5475
2000-12-06,127.746
2000-12-13,127.5608
2000-12-20,127.8996
2000-12-27,128.7774
2001-01-03,127.735
2001-01-10,128.1057
2001-01-17,128.4191
2001-01-24,128.9564
2001-01-31,129.5678
2001-02-07,129.7681
2001-02-14,130.5616
2001-02-21,130.8337
2001-02-28,131.2598
2001-03-07,131.5069
2001-03-14,131.6297
2001-03-21,132.6682
2001-03-28,132.2539
2001-04-04,132.1124
2001-04-11,132.5433
2001-04-18,132.9225
2001-04-25,133.4076
2001-05-02,134.0563
2001-05-09,134.7451
2001-05-16,135.1055
2001-05-23,135.6514
2001-05-30,135.1825
2001-06-06,135.5329
2001-06-13,135.6364
2001-06-20,135.9289
2001-06-27,136.9429
2001-07-04,137.548
2001-07-11,137.398
2001-07-18,137.8936
2001-07-25,137.809
2001-08-01,138.8352
2001-08-08,139.1516
2001-08-15,139.7568
2001-08-22,140.9648
2001-08-29,141.5646
2001-09-05,142.2649
2001-09-12,143.1785
2001-09-19,144.4121
2001-09-26,144.5694
2001-10-03,145.6121
2001-10-10,146.7005
2001-10-17,147.3569
2001-10-24,148.632
2001-10-31,149.5128
2001-11-07,149.8669
2001-11-14,150.0519
2001-11-21,150.5421
2001-11-28,151.0508
2001-12-05,152.5896
2001-12-12,153.0712
2001-12-19,153.7342
2001-12-26,154.3868
2002-01-02,155.3964
2002-01-09,156.3889
2002-01-16,156.8011
2002-01-23,157.8764
2002-01-30,158.8701
2002-02-06,160.0244
2002-02-13,160.9521
2002-02-20,161.7271
2002-02-27,162.4225
2002-03-06,163.8644
2002-03-13,164.7725
2002-03-20,165.2386
2002-03-27,166.691
2002-04-03,169.0335
2002-04-10,170.1822
2002-04-17,171.4639
2002-04-24,172.1757
2002-05-01,173.8269
2002-05-08,175.5472
2002-05-15,177.1402
2002-05-22,178.2683
2002-05-29,179.5001
2002-06-05,180.9581
2002-06-12,182.2364
2002-06-19,183.3066
2002-06-26,185.351
2002-07-03,187.7153
2002-07-10,188.699
2002-07-17,189.5777
2002-07-24,190.4696
2002-07-31,192.0857
2002-08-07,193.7242
2002-08-14,195.2117
2002-08-21,193.9532
2002-08-28,195.4793
2002-09-04,196.1924
2002-09-11,197.2827
2002-09-18,198.0879
2002-09-25,200.1297
2002-10-02,203.1002
2002-10-09,204.3386
2002-10-16,205.0805
2002-10-23,204.7357
2002-10-30,205.5117
2002-11-06,206.1123
2002-11-13,206.6036
2002-11-20,207.5231
2002-11-27,208.8734
2002-12-04,210.1381
2002-12-11,211.1301
2002-12-18,212.6945
2002-12-25,212.8658
2003-01-01,214.6837
2003-01-08,214.1177
2003-01-15,217.4844
2003-01-22,218.6668
2003-01-29,219.7879
2003-02-05,221.5577
2003-02-12,222.1913
2003-02-19,223.3997
2003-02-26,224.7226
2003-03-05,226.3455
2003-03-12,227.3341
2003-03-19,228.6124
2003-03-26,228.8853
2003-04-02,230.7652
2003-04-09,231.8967
2003-04-16,232.3792
2003-04-23,233.8977
2003-04-30,234.5652
2003-05-07,235.6757
2003-05-14,236.6695
2003-05-21,237.7501
2003-05-28,238.847
2003-06-04,240.7519
2003-06-11,242.0347
2003-06-18,243.1306
2003-06-25,244.5225
2003-07-02,245.5275
2003-07-09,246.5801
2003-07-16,247.5254
2003-07-23,248.2506
2003-07-30,249.2741
2003-08-06,250.57
2003-08-13,251.7112
2003-08-20,253.0895
2003-08-27,253.9253
2003-09-03,255.4047
2003-09-10,256.8277
2003-09-17,258.0632
2003-09-24,259.8616
2003-10-01,260.6735
2003-10-08,262.2749
2003-10-15,263.9001
2003-10-22,265.5939
2003-10-29,267.527
